country,group,year,units
lao people's democratic republic,October,2010,544
liberia,October,2010,10
mexico,October,2010,4001
nepal,October,2010,3
nicaragua,October,2010,1638
nigeria,October,2010,42
panama,October,2010,114
sierra leone,October,2010,33
sri lanka,October,2010,37
thailand,October,2010,828
togo,October,2010,160
trinidad & tobago,October,2010,10
uganda,October,2010,3267
venezuela,October,2010,1202
viet nam,October,2010,20000
yemen,October,2010,161
angola,April,2011,29
bolivia,April,2011,132
brazil,April,2011,48592
burundi,April,2011,204
ecuador,April,2011,825
indonesia,April,2011,6889
madagascar,April,2011,585
malawi,April,2011,26
papua new guinea,April,2011,1414
paraguay,April,2011,20
peru,April,2011,5373
rwanda,April,2011,251
timor-leste,April,2011,47
zimbabwe,April,2011,9
congo,July,2011,3
cuba,July,2011,100
dominican republic,July,2011,491
haiti,July,2011,349
philippines,July,2011,180
tanzania,July,2011,641
zambia,July,2011,11
cameroon,October,2011,669
central african republic,October,2011,91
colombia,October,2011,7653
costa rica,October,2011,1831
cote d'ivoire,October,2011,2216
democratic republic of congo,October,2011,357
el salvador,October,2011,1164
equatorial guinea,October,2011,0
ethiopia,October,2011,5650
gabon,October,2011,1
ghana,October,2011,30
guatemala,October,2011,3850
guinea,October,2011,386
guyana,October,2011,10
honduras,October,2011,5882
india,October,2011,5334
jamaica,October,2011,24
kenya,October,2011,757
lao people's democratic republic,October,2011,514
liberia,October,2011,10
mexico,October,2011,4561
nepal,October,2011,2
nicaragua,October,2011,2193
nigeria,October,2011,47
panama,October,2011,106
sierra leone,October,2011,78
sri lanka,October,2011,36
thailand,October,2011,831
togo,October,2011,160
trinidad & tobago,October,2011,11
uganda,October,2011,3115
venezuela,October,2011,902
viet nam,October,2011,26500
yemen,October,2011,185
angola,April,2012,33
bolivia,April,2012,105
brazil,April,2012,55418
burundi,April,2012,406
ecuador,April,2012,828
indonesia,April,2012,13070
madagascar,April,2012,500
malawi,April,2012,23
papua new guinea,April,2012,716
paraguay,April,2012,20
peru,April,2012,4450
rwanda,April,2012,259
timor-leste,April,2012,61
zimbabwe,April,2012,7
congo,July,2012,3
cuba,July,2012,88
dominican republic,July,2012,488
haiti,July,2012,350
philippines,July,2012,177
tanzania,July,2012,1151
zambia,July,2012,5
cameroon,October,2012,371
central african republic,October,2012,23
colombia,October,2012,9927
costa rica,October,2012,1823
cote d'ivoire,October,2012,1994
democratic republic of congo,October,2012,334
el salvador,October,2012,1240
equatorial guinea,October,2012,0
ethiopia,October,2012,6132
gabon,October,2012,1
ghana,October,2012,21
guatemala,October,2012,3763
guinea,October,2012,234
guyana,October,2012,10
honduras,October,2012,4686
india,October,2012,5403
jamaica,October,2012,24
kenya,October,2012,875
lao people's democratic republic,October,2012,541
liberia,October,2012,10
mexico,October,2012,4327
nepal,October,2012,1
nicaragua,October,2012,1873
nigeria,October,2012,41
panama,October,2012,116
sierra leone,October,2012,61
sri lanka,October,2012,35
thailand,October,2012,608
togo,October,2012,84
trinidad & tobago,October,2012,12
uganda,October,2012,3914
venezuela,October,2012,952
viet nam,October,2012,23402
yemen,October,2012,188
angola,April,2013,35
bolivia,April,2013,120
brazil,April,2013,54689
burundi,April,2013,163
ecuador,April,2013,666
indonesia,April,2013,12901
madagascar,April,2013,584
malawi,April,2013,28
papua new guinea,April,2013,835
paraguay,April,2013,20
peru,April,2013,4106
rwanda,April,2013,258
timor-leste,April,2013,80
zimbabwe,April,2013,9
congo,July,2013,3
cuba,July,2013,107
dominican republic,July,2013,425
haiti,July,2013,345
philippines,July,2013,186
tanzania,July,2013,811
zambia,July,2013,11
cameroon,October,2013,404
central african republic,October,2013,90
colombia,October,2013,12124
costa rica,October,2013,1552
cote d'ivoire,October,2013,2598
democratic republic of congo,October,2013,347
el salvador,October,2013,515
equatorial guinea,October,2013,0
ethiopia,October,2013,6242
gabon,October,2013,0
ghana,October,2013,25
guatemala,October,2013,3189
guinea,October,2013,101
guyana,October,2013,13
honduras,October,2013,4583
india,October,2013,5075
jamaica,October,2013,20
kenya,October,2013,843
lao people's democratic republic,October,2013,544
liberia,October,2013,6
mexico,October,2013,3916
nepal,October,2013,1
nicaragua,October,2013,2060
nigeria,October,2013,41
panama,October,2013,113
sierra leone,October,2013,32
sri lanka,October,2013,37
thailand,October,2013,638
togo,October,2013,172
trinidad & tobago,October,2013,12
uganda,October,2013,3633
venezuela,October,2013,804
viet nam,October,2013,27610
yemen,October,2013,187
angola,April,2014,39
bolivia,April,2014,100
brazil,April,2014,53305
burundi,April,2014,248
ecuador,April,2014,644
indonesia,April,2014,10946
madagascar,April,2014,501
malawi,April,2014,25
papua new guinea,April,2014,798
paraguay,April,2014,20
peru,April,2014,2883
rwanda,April,2014,238
timor-leste,April,2014,111
zimbabwe,April,2014,15
congo,July,2014,3
cuba,July,2014,101
dominican republic,July,2014,397
haiti,July,2014,343
philippines,July,2014,193
tanzania,July,2014,753
zambia,July,2014,3
cameroon,October,2014,483
central african republic,October,2014,63
colombia,October,2014,13333
costa rica,October,2014,1475
cote d'ivoire,October,2014,1728
democratic republic of congo,October,2014,335
el salvador,October,2014,665
equatorial guinea,October,2014,0
ethiopia,October,2014,6383
gabon,October,2014,1
ghana,October,2014,35
guatemala,October,2014,3310
guinea,October,2014,165
guyana,October,2014,9
honduras,October,2014,5268
india,October,2014,5450
jamaica,October,2014,21
kenya,October,2014,770
lao people's democratic republic,October,2014,552
liberia,October,2014,7
mexico,October,2014,3636
nepal,October,2014,2
nicaragua,October,2014,1898
nigeria,October,2014,43
panama,October,2014,106
sierra leone,October,2014,46
sri lanka,October,2014,36
thailand,October,2014,845
togo,October,2014,143
trinidad & tobago,October,2014,12
uganda,October,2014,3744
venezuela,October,2014,650
viet nam,October,2014,27241
yemen,October,2014,178
angola,April,2015,41
bolivia,April,2015,84
brazil,April,2015,52871
burundi,April,2015,269
ecuador,April,2015,644
indonesia,April,2015,12585
madagascar,April,2015,414
malawi,April,2015,21
papua new guinea,April,2015,712
paraguay,April,2015,20
peru,April,2015,3304
rwanda,April,2015,293
timor-leste,April,2015,59
zimbabwe,April,2015,14
congo,July,2015,3
cuba,July,2015,100
dominican republic,July,2015,400
haiti,July,2015,341
philippines,July,2015,208
tanzania,July,2015,930
zambia,July,2015,4
cameroon,October,2015,391
central african republic,October,2015,100
colombia,October,2015,14009
costa rica,October,2015,1440
cote d'ivoire,October,2015,1289
democratic republic of congo,October,2015,371
el salvador,October,2015,565
equatorial guinea,October,2015,0
ethiopia,October,2015,6515
gabon,October,2015,1
ghana,October,2015,36
guatemala,October,2015,3410
guinea,October,2015,286
guyana,October,2015,11
honduras,October,2015,5786
india,October,2015,5830
jamaica,October,2015,20
kenya,October,2015,799
lao people's democratic republic,October,2015,535
liberia,October,2015,10
mexico,October,2015,2772
nepal,October,2015,2
nicaragua,October,2015,2130
nigeria,October,2015,41
panama,October,2015,127
sierra leone,October,2015,46
sri lanka,October,2015,36
thailand,October,2015,762
togo,October,2015,81
trinidad & tobago,October,2015,12
uganda,October,2015,3650
venezuela,October,2015,500
viet nam,October,2015,31090
yemen,October,2015,156
angola,April,2016,45
bolivia,April,2016,78
brazil,April,2016,56788
burundi,April,2016,196
ecuador,April,2016,645
indonesia,April,2016,11541
madagascar,April,2016,453
malawi,April,2016,20
papua new guinea,April,2016,1171
paraguay,April,2016,20
peru,April,2016,4223
rwanda,April,2016,231
timor-leste,April,2016,82
zimbabwe,April,2016,15
congo,July,2016,3
cuba,July,2016,103
dominican republic,July,2016,412
haiti,July,2016,342
philippines,July,2016,215
tanzania,July,2016,846
zambia,July,2016,13
cameroon,October,2016,292
central african republic,October,2016,37
colombia,October,2016,14634
costa rica,October,2016,1372
cote d'ivoire,October,2016,1117
democratic republic of congo,October,2016,279
el salvador,October,2016,610
equatorial guinea,October,2016,0
ethiopia,October,2016,7143
gabon,October,2016,1
ghana,October,2016,26
guatemala,October,2016,3684
guinea,October,2016,270
guyana,October,2016,10
honduras,October,2016,7457
india,October,2016,6161
jamaica,October,2016,18
kenya,October,2016,793
lao people's democratic republic,October,2016,510
liberia,October,2016,12
mexico,October,2016,3635
nepal,October,2016,1
nicaragua,October,2016,2555
nigeria,October,2016,43
panama,October,2016,120
sierra leone,October,2016,38
sri lanka,October,2016,37
thailand,October,2016,538
togo,October,2016,23
trinidad & tobago,October,2016,12
uganda,October,2016,4962
venezuela,October,2016,525
viet nam,October,2016,27819
yemen,October,2016,143
angola,April,2017,35
bolivia,April,2017,84
brazil,April,2017,52740
burundi,April,2017,202
ecuador,April,2017,624
indonesia,April,2017,10852
madagascar,April,2017,404
malawi,April,2017,14
papua new guinea,April,2017,734
paraguay,April,2017,20
peru,April,2017,4279
rwanda,April,2017,264
timor-leste,April,2017,65
zimbabwe,April,2017,7
congo,July,2017,3
cuba,July,2017,113
dominican republic,July,2017,412
haiti,July,2017,342
philippines,July,2017,203
tanzania,July,2017,783
zambia,July,2017,19
cameroon,October,2017,370
central african republic,October,2017,60
colombia,October,2017,13824
costa rica,October,2017,1561
cote d'ivoire,October,2017,1624
democratic republic of congo,October,2017,382
el salvador,October,2017,760
equatorial guinea,October,2017,0
ethiopia,October,2017,7347
gabon,October,2017,0
ghana,October,2017,13
guatemala,October,2017,3734
guinea,October,2017,229
guyana,October,2017,10
honduras,October,2017,7560
india,October,2017,5813
jamaica,October,2017,19
kenya,October,2017,790
lao people's democratic republic,October,2017,533
liberia,October,2017,16
mexico,October,2017,4485
nepal,October,2017,2
nicaragua,October,2017,2642
nigeria,October,2017,42
panama,October,2017,105
sierra leone,October,2017,38
sri lanka,October,2017,37
thailand,October,2017,638
togo,October,2017,115
trinidad & tobago,October,2017,12
uganda,October,2017,4597
venezuela,October,2017,572
viet nam,October,2017,33432
yemen,October,2017,132
angola,April,2018,42
bolivia,April,2018,83
brazil,April,2018,65131
burundi,April,2018,204
ecuador,April,2018,496
indonesia,April,2018,9618
madagascar,April,2018,379
malawi,April,2018,13
papua new guinea,April,2018,930
paraguay,April,2018,20
peru,April,2018,4263
rwanda,April,2018,380
timor-leste,April,2018,139
zimbabwe,April,2018,10
congo,July,2018,3
cuba,July,2018,128
dominican republic,July,2018,431
haiti,July,2018,347
philippines,July,2018,206
tanzania,July,2018,1175
zambia,July,2018,34
cameroon,October,2018,310
central african republic,October,2018,37
colombia,October,2018,13866
costa rica,October,2018,1427
cote d'ivoire,October,2018,2175
democratic republic of congo,October,2018,397
el salvador,October,2018,761
equatorial guinea,October,2018,0
ethiopia,October,2018,7511
gabon,October,2018,1
ghana,October,2018,15
guatemala,October,2018,4007
guinea,October,2018,153
guyana,October,2018,10
honduras,October,2018,7153
india,October,2018,5325
jamaica,October,2018,18
kenya,October,2018,930
lao people's democratic republic,October,2018,647
liberia,October,2018,6
mexico,October,2018,4351
nepal,October,2018,1
nicaragua,October,2018,2879
nigeria,October,2018,42
panama,October,2018,128
sierra leone,October,2018,45
sri lanka,October,2018,36
thailand,October,2018,482
togo,October,2018,54
trinidad & tobago,October,2018,13
uganda,October,2018,4704
venezuela,October,2018,578
viet nam,October,2018,30283
yemen,October,2018,86
angola,April,2019,52
bolivia,April,2019,81
brazil,April,2019,58211
burundi,April,2019,272
ecuador,April,2019,559
indonesia,April,2019,11433
madagascar,April,2019,383
malawi,April,2019,16
papua new guinea,April,2019,752
paraguay,April,2019,20
peru,April,2019,3836
rwanda,April,2019,348
timor-leste,April,2019,103
zimbabwe,April,2019,9
congo,July,2019,3
cuba,July,2019,130
dominican republic,July,2019,402
haiti,July,2019,347
philippines,July,2019,307
tanzania,July,2019,926
zambia,July,2019,15
cameroon,October,2019,268
central african republic,October,2019,55
colombia,October,2019,14100
costa rica,October,2019,1472
cote d'ivoire,October,2019,1929
democratic republic of congo,October,2019,391
el salvador,October,2019,661
equatorial guinea,October,2019,0
ethiopia,October,2019,7343
gabon,October,2019,1
ghana,October,2019,14
guatemala,October,2019,3606
guinea,October,2019,178
guyana,October,2019,10
honduras,October,2019,5931
india,October,2019,4988
jamaica,October,2019,23
kenya,October,2019,844
lao people's democratic republic,October,2019,622
liberia,October,2019,6
mexico,October,2019,3985
nepal,October,2019,1
nicaragua,October,2019,2882
nigeria,October,2019,42
panama,October,2019,114
sierra leone,October,2019,40
sri lanka,October,2019,36
thailand,October,2019,517
togo,October,2019,41
trinidad & tobago,October,2019,12
uganda,October,2019,5509
venezuela,October,2019,650
viet nam,October,2019,30487
yemen,October,2019,91
